Partner,QueryResolutionTime(hours),SatisfactionRating,AdHocProjectCompletionRate(%),FeedbackCollected,ProcessOptimizationImpact(%),Date
Partner D,40.71762523658069,3,86.54298233757119,False,14.598462165769998,2023-05-04
Partner A,43.81369114288916,5,98.10650587317328,False,14.185113265957341,2023-01-14
Partner D,3.1164717953403605,1,83.27463025194591,True,11.211982960993097,2023-08-10
Partner E,17.144921872373537,1,90.26417974036109,False,11.755056799205883,2023-02-15
Partner A,3.5650681142920004,5,95.85026728512352,False,11.473164843240696,2023-12-17
Partner A,44.366791264372615,5,92.02606439503461,True,5.811846332596203,2023-02-14
Partner C,30.94271586978177,1,92.43005872531295,False,9.097030998750327,2023-08-07
Partner E,4.673626480230553,3,96.47560029371148,False,8.844951818292044,2023-05-13
Partner C,14.866501520667018,3,80.69641606776426,False,8.490739959230849,2023-10-05
Partner B,37.6042589500618,3,86.90842217253932,True,9.356977084673996,2023-11-26
Partner C,4.634048712176444,1,97.75538571499581,False,10.120792738312169,2023-08-01
Partner A,12.966685599647665,5,97.25229438598521,False,8.744608567541619,2023-01-18
Partner D,46.48375264834557,1,96.69607870450685,False,9.760768039100475,2023-12-11
Partner C,28.084879334744276,1,88.70485371454495,True,6.6965749025601875,2023-10-21
Partner E,33.60079163925236,2,95.70502401450854,False,7.197643709253228,2023-04-25
Partner B,40.61285043499452,4,93.28516630102534,True,6.013637768908482,2023-08-15
Partner E,3.1475359962219533,2,86.3384658246807,False,5.805111792045185,2023-04-17
Partner E,45.70192916106342,5,82.80142855578062,True,5.421875894090359,2023-01-06
Partner E,42.19128094563575,1,96.3546322389227,False,8.288306589731304,2023-03-21
Partner D,10.92953776473234,2,91.35597254453518,True,7.3314806867202815,2023-04-02
Partner C,4.3050535013689935,2,90.56725367286634,True,5.1640563894837666,2023-02-17
Partner B,10.234568906863474,5,93.14133441450794,False,9.363440495073043,2023-01-14
Partner E,22.767253468100485,5,87.16973663706311,True,9.94479912378708,2023-04-14
Partner E,43.615035023101775,3,98.6396602651805,False,13.28990851780359,2023-08-21
Partner D,24.181558763399973,4,87.73317957598329,True,12.700945117302522,2023-02-14
Partner C,46.44027364398907,1,91.29404997902861,False,6.383220899187076,2023-05-04
Partner C,43.380104614202146,5,80.64412576241813,True,12.541407199516618,2023-06-18
Partner B,46.96681568754689,2,84.73969192168518,False,6.169288769230096,2023-10-19
Partner D,20.434108619757524,5,93.48437129719446,False,14.751154809389973,2023-09-16
Partner B,25.028511378452283,1,80.5017455892079,False,7.918672190801466,2023-11-21
Partner A,3.6934424514302506,3,85.12339939259238,True,11.538633456360987,2023-11-26
Partner C,46.90046566974484,1,89.8252417969291,True,13.901756637058153,2023-11-25
Partner A,25.848193726489306,3,89.70281048518609,False,14.906150038375626,2023-02-13
Partner A,26.194217177951234,2,85.34992197131366,False,11.157367598300233,2023-12-08
Partner D,45.061451161333764,1,82.53739654375289,False,8.521251922696084,2023-02-24
Partner E,45.45910659472184,4,95.42457417570041,True,11.116627373986441,2023-04-24
Partner C,25.592001650523546,2,81.44987596716913,True,5.391330522536154,2023-02-12
Partner D,14.037227163749167,3,94.78043404477992,False,11.815881009206908,2023-02-22
Partner D,41.56594062933985,4,84.56708514093712,False,6.252581771798705,2023-10-23
Partner E,16.483054737781007,5,92.30018342282126,False,12.223241261437277,2023-03-06
Partner D,14.426891646890352,1,82.28461115988249,True,14.622729954359913,2023-09-07
Partner E,32.7078735746433,1,86.75795866421268,False,13.954185396764027,2023-11-11
Partner B,3.314544805430283,5,83.2809457128761,True,14.886873254628851,2023-10-02
Partner A,28.913174549029222,1,98.27169551741005,False,10.97285976210981,2023-01-25
Partner B,23.71714150215235,2,97.78837825487695,True,9.50057193070423,2023-06-23
Partner A,23.95079390219626,2,92.16679896789054,True,11.125304957435826,2023-02-25
Partner D,10.911151036870356,4,85.80280580706247,True,14.567299244488803,2023-02-13
Partner C,3.2924957374684536,4,97.33027518008338,False,6.527705745482505,2023-07-25
Partner D,20.02612919630699,5,98.37631381605213,True,6.839611428071764,2023-01-01
Partner A,27.15134764673327,1,82.43243904951859,True,8.05658440700174,2023-05-11
Partner C,16.20856926449467,4,82.83789137584432,True,9.00467389042874,2023-01-01
Partner B,27.641643237898737,3,80.60943301448158,True,13.903221199882685,2023-11-09
Partner C,34.68605236618974,4,81.48769190644511,True,8.582742694435426,2023-01-02
Partner B,39.19846906411365,2,96.07075064933082,False,8.25279084329614,2023-09-22
Partner A,1.8435554418583118,5,95.13902522309077,False,10.764512170617646,2023-10-12
Partner C,11.102798242386262,4,86.46371223573009,True,5.0016194479915566,2023-05-16
Partner B,38.783465394280334,2,85.4278195202827,False,13.268114988027994,2023-09-11
Partner A,15.467425918042647,5,94.41556010205164,False,11.753437992656679,2023-07-13
Partner D,27.42818623003583,5,89.73543664749552,True,11.727501328447696,2023-10-24
Partner D,24.619549792665058,2,95.0402721631192,True,14.976275058539978,2023-01-18
Partner D,6.889970325426788,5,86.85821495459162,True,11.511481249879772,2023-03-03
Partner E,34.658859450517,1,94.99227559829174,False,8.592551617104867,2023-12-12
Partner E,5.81129034079863,5,94.13643532098196,False,13.316385656378932,2023-01-24
Partner D,21.385270658929528,3,83.35098759753129,True,8.392743797667851,2023-11-18
Partner E,45.192907413317435,3,81.47990515744686,False,14.999395280330871,2023-01-20
Partner D,44.84152395141925,2,91.70782415415863,False,12.845641946134911,2023-04-11
Partner B,20.41308415580973,4,90.5476777701082,True,5.992462115424743,2023-08-26
Partner D,15.142550073167346,5,91.47440656839636,False,13.289440683381725,2023-07-23
